Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,2,female,55,0,0,16,Unknown,S
1,2,male,34,0,0,13,D56,S
0,1,male,28,1,0,82.1708,Unknown,C
1,3,female,14,1,0,11.2417,Unknown,C
0,1,male,65,0,1,61.9792,B30,C
1,2,female,5,1,2,27.75,Unknown,S
0,3,male,4,3,2,27.9,Unknown,S
1,3,female,17,4,2,7.925,Unknown,S
0,3,male,26,1,0,14.4542,Unknown,C
1,3,male,32,0,0,56.4958,Unknown,S
0,3,male,16,1,3,34.375,Unknown,S
0,3,male,20,0,0,7.8542,Unknown,S
0,1,male,46,1,0,61.175,E31,S
0,3,female,20,1,0,9.825,Unknown,S
0,2,male,29,1,0,21,Unknown,S
1,3,male,12,1,0,11.2417,Unknown,C
0,3,male,45,0,0,6.975,Unknown,S
1,2,female,29,1,0,26,Unknown,S
1,3,female,24,1,0,15.85,Unknown,S
0,2,male,19,1,1,36.75,Unknown,S
1,3,male,27,0,0,7.7958,Unknown,S
0,3,female,9,2,2,34.375,Unknown,S
0,2,male,36.5,0,2,26,F2,S
0,2,male,42,0,0,13,Unknown,S
0,2,male,51,0,0,12.525,Unknown,S
0,3,male,55.5,0,0,8.05,Unknown,S
1,3,male,9,0,2,20.525,Unknown,S
0,1,male,56,0,0,30.6958,A7,C
0,3,male,18,1,1,7.8542,Unknown,S
0,3,male,36,0,0,0,Unknown,S
1,2,male,1,2,1,39,F4,S
1,1,male,45,0,0,26.55,Unknown,S
0,3,male,36,0,0,7.8958,Unknown,S
0,3,male,34,0,0,6.4958,Unknown,S
0,3,male,32,1,0,15.85,Unknown,S
1,1,female,32,0,0,76.2917,D15,C
0,2,male,30,0,0,10.5,Unknown,S
1,3,male,16,0,0,8.05,Unknown,S
0,2,male,27,0,0,13,Unknown,S
0,3,male,51,0,0,8.05,Unknown,S
0,2,male,44,1,0,26,Unknown,S
0,2,male,19,0,0,10.5,Unknown,S
1,2,female,50,0,1,26,Unknown,S
0,3,female,45,0,0,7.75,Unknown,S
1,3,male,19,0,0,8.05,Unknown,S
0,3,male,33,0,0,8.6625,Unknown,C
1,3,female,22,0,0,7.75,Unknown,Q
1,1,female,19,1,0,91.0792,B49,C
0,2,male,36,0,0,12.875,D,C
1,1,female,24,0,0,83.1583,C54,C
1,2,female,24,1,0,26,Unknown,S
1,2,female,22,1,1,29,Unknown,S
0,1,male,45.5,0,0,28.5,C124,S
0,2,male,36,0,0,13,Unknown,S
0,3,male,42,0,0,8.6625,Unknown,S
0,3,male,25,1,0,17.8,Unknown,S
0,3,male,40,1,4,27.9,Unknown,S
0,3,male,19,0,0,7.775,Unknown,S
1,1,female,42,0,0,227.525,Unknown,C
1,3,female,1,0,2,15.7417,Unknown,C
0,3,male,32,0,0,7.925,Unknown,S
1,1,male,36,1,2,120,B96 B98,S
1,1,female,23,1,0,113.275,D36,C
0,2,male,23,0,0,10.5,Unknown,S
0,3,male,26,0,0,8.05,Unknown,S
0,2,male,34,1,0,21,Unknown,S
1,2,female,34,1,1,32.5,Unknown,S
1,1,male,28,0,0,26.55,C52,S
1,1,male,34,0,0,26.55,Unknown,S
1,1,male,52,0,0,30.5,C104,S
1,3,male,29,0,0,7.8958,Unknown,C
1,2,female,33,1,2,27.75,Unknown,S
1,3,female,2,0,1,12.2875,Unknown,S
0,3,male,9,5,2,46.9,Unknown,S
1,1,male,25,1,0,91.0792,B49,C
0,3,male,30,0,0,8.05,Unknown,S
1,3,male,9,1,1,15.9,Unknown,S
0,3,male,24,0,0,7.7958,Unknown,S
1,1,female,16,0,0,86.5,B79,S
0,1,male,18,1,0,108.9,C65,C
0,3,male,24,0,0,7.4958,Unknown,S
0,1,male,47,0,0,34.0208,D46,S
0,3,male,39,0,0,7.925,Unknown,S
0,3,male,17,1,1,7.2292,Unknown,C
0,3,female,30,0,0,8.6625,Unknown,S
0,3,female,11,4,2,31.275,Unknown,S
1,1,female,48,1,0,39.6,A16,C
0,3,male,40,0,0,7.8958,Unknown,S
0,3,male,16,0,0,8.05,Unknown,S
0,2,male,54,0,0,26,Unknown,S
0,1,male,36,0,0,40.125,A10,C
0,2,male,47,0,0,15,Unknown,S
1,1,male,60,1,1,79.2,B41,C
1,1,male,49,1,0,56.9292,A20,C
0,3,male,44,0,0,8.05,Unknown,S
1,1,female,21,0,0,77.9583,D9,S
1,1,male,32,0,0,30.5,B50,C
1,2,female,28,0,0,13,Unknown,S
0,3,male,32,0,0,7.925,Unknown,S
0,2,male,31,1,1,26.25,Unknown,S
1,3,female,0.75,2,1,19.2583,Unknown,C
0,3,male,21,0,0,8.4333,Unknown,S
0,2,male,25,0,0,13,Unknown,S
0,1,male,31,1,0,52,B71,S
0,2,male,70,0,0,10.5,Unknown,S
0,3,male,14,5,2,46.9,Unknown,S
0,3,male,14,4,1,39.6875,Unknown,S
1,1,female,15,0,1,211.3375,B5,S
0,3,male,44,0,0,8.05,Unknown,S
0,3,male,42,0,0,7.65,F G63,S
1,1,female,18,1,0,227.525,C62 C64,C
0,3,male,26,1,0,7.8542,Unknown,S
0,2,male,39,0,0,26,Unknown,S
1,1,male,48,1,0,52,C126,S
1,2,female,30,3,0,21,Unknown,S
0,3,male,11,0,0,18.7875,Unknown,C
0,2,male,23,0,0,13,Unknown,S
0,3,female,48,1,3,34.375,Unknown,S
0,1,male,70,1,1,71,B22,S
0,3,male,16,1,1,20.25,Unknown,S
0,3,male,31,0,0,7.75,Unknown,Q
0,3,male,23,0,0,7.8958,Unknown,S
0,2,male,18,0,0,11.5,Unknown,S
0,3,male,16,0,0,7.775,Unknown,S
1,3,female,13,0,0,7.2292,Unknown,C
0,3,male,25,0,0,7.05,Unknown,S
0,3,male,8,4,1,29.125,Unknown,Q
0,3,male,30,0,0,7.2292,Unknown,C
0,3,female,30,1,1,24.15,Unknown,S
0,3,female,18,0,0,7.775,Unknown,S
0,3,female,6,4,2,31.275,Unknown,S
0,3,male,18,0,0,8.3,Unknown,S
0,3,male,21,0,0,8.6625,Unknown,S
1,3,male,32,0,0,56.4958,Unknown,S
1,1,female,30,0,0,31,Unknown,C
0,3,male,17,0,0,8.6625,Unknown,S
0,2,female,44,1,0,26,Unknown,S
1,1,male,51,0,0,26.55,E17,S
0,2,male,21,1,0,11.5,Unknown,S
0,3,male,19,0,0,7.8958,Unknown,S
0,3,female,22,0,0,10.5167,Unknown,S
0,3,female,39,0,5,29.125,Unknown,Q
0,3,male,32,0,0,7.75,Unknown,Q
