Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,male,22,1,0,7.25,Unknown,S
1,1,female,38,1,0,71.2833,C85,C
1,3,female,26,0,0,7.925,Unknown,S
1,1,female,35,1,0,53.1,C123,S
0,3,male,35,0,0,8.05,Unknown,S
0,1,male,54,0,0,51.8625,E46,S
0,3,male,2,3,1,21.075,Unknown,S
1,3,female,27,0,2,11.1333,Unknown,S
1,2,female,14,1,0,30.0708,Unknown,C
1,3,female,4,1,1,16.7,G6,S
1,1,female,58,0,0,26.55,C103,S
0,3,male,20,0,0,8.05,Unknown,S
0,3,male,39,1,5,31.275,Unknown,S
0,3,female,14,0,0,7.8542,Unknown,S
0,3,male,2,4,1,29.125,Unknown,Q
0,3,female,31,1,0,18,Unknown,S
0,2,male,35,0,0,26,Unknown,S
1,3,female,15,0,0,8.0292,Unknown,Q
1,1,male,28,0,0,35.5,A6,S
0,3,female,8,3,1,21.075,Unknown,S
1,3,female,38,1,5,31.3875,Unknown,S
0,1,male,19,3,2,263,C23 C25 C27,S
0,1,male,40,0,0,27.7208,Unknown,C
0,2,male,66,0,0,10.5,Unknown,S
0,1,male,42,1,0,52,Unknown,S
0,3,male,21,0,0,8.05,Unknown,S
0,3,female,18,2,0,18,Unknown,S
0,3,female,40,1,0,9.475,Unknown,S
0,2,female,27,1,0,21,Unknown,S
1,2,female,3,1,2,41.5792,Unknown,C
1,3,female,19,0,0,7.8792,Unknown,Q
0,3,female,18,1,0,17.8,Unknown,S
0,3,male,7,4,1,39.6875,Unknown,S
0,3,male,21,0,0,7.8,Unknown,S
1,1,female,49,1,0,76.7292,D33,C
1,2,female,29,1,0,26,Unknown,S
1,2,female,21,0,0,10.5,Unknown,S
0,3,male,28.5,0,0,7.2292,Unknown,C
0,3,male,11,5,2,46.9,Unknown,S
0,3,male,22,0,0,7.2292,Unknown,C
0,1,male,45,1,0,83.475,C83,S
1,2,female,29,0,0,10.5,F33,S
0,3,male,19,0,0,8.1583,Unknown,S
0,3,male,26,2,0,8.6625,Unknown,S
0,2,male,32,0,0,10.5,Unknown,S
0,3,female,16,5,2,46.9,Unknown,S
0,2,male,21,0,0,73.5,Unknown,S
0,3,male,25,0,0,7.65,F G73,S
1,2,male,0.83,0,2,29,Unknown,S
1,3,female,30,0,0,12.475,Unknown,S
0,3,male,22,0,0,9,Unknown,S
1,3,male,29,0,0,9.5,Unknown,S
0,1,male,28,0,0,47.1,Unknown,S
1,2,female,17,0,0,10.5,Unknown,S
1,3,female,33,3,0,15.85,Unknown,S
1,1,female,23,3,2,263,C23 C25 C27,S
0,3,male,24,0,0,8.05,Unknown,S
0,3,male,29,0,0,8.05,Unknown,S
0,3,male,26,1,2,20.575,Unknown,S
0,3,male,59,0,0,7.25,Unknown,S
0,1,male,71,0,0,34.6542,A5,C
1,1,male,23,0,1,63.3583,D10 D12,C
1,2,female,34,0,1,23,Unknown,S
0,2,male,34,1,0,26,Unknown,S
0,3,female,28,0,0,7.8958,Unknown,S
0,1,male,21,0,1,77.2875,D26,S
0,3,male,33,0,0,8.6542,Unknown,S
0,3,male,37,2,0,7.925,Unknown,S
0,3,male,28,0,0,7.8958,Unknown,S
1,3,female,21,0,0,7.65,Unknown,S
0,3,male,38,0,0,7.8958,Unknown,S
0,1,male,47,0,0,52,C110,S
0,3,female,14.5,1,0,14.4542,Unknown,C
0,3,male,22,0,0,8.05,Unknown,S
0,3,female,17,0,0,14.4583,Unknown,C
0,3,male,21,0,0,7.925,Unknown,S
0,3,male,70.5,0,0,7.75,Unknown,Q
0,1,male,24,0,1,247.5208,B58 B60,C
0,3,female,2,4,2,31.275,Unknown,S
0,2,male,21,2,0,73.5,Unknown,S
0,2,male,32.5,1,0,30.0708,Unknown,C
1,2,female,32.5,0,0,13,E101,S
0,1,male,54,0,1,77.2875,D26,S
1,3,male,24,0,0,7.1417,Unknown,S
0,3,male,33,0,0,7.8958,Unknown,C
0,3,male,20,0,0,7.05,Unknown,S
0,3,female,47,1,0,14.5,Unknown,S
0,2,male,25,0,0,13,Unknown,S
0,2,male,23,0,0,15.0458,Unknown,C
1,1,female,19,0,2,26.2833,D47,S
0,1,male,37,1,0,53.1,C123,S
0,3,male,16,0,0,9.2167,Unknown,S
0,1,male,24,0,0,79.2,B86,C
1,3,female,22,0,0,7.75,Unknown,S
0,3,male,19,0,0,6.75,Unknown,Q
0,2,male,18,0,0,11.5,Unknown,S
1,1,female,22,1,0,66.6,C2,S
0,3,male,40.5,0,2,14.5,Unknown,S
0,1,male,51,0,1,61.3792,Unknown,C
1,3,female,16,0,0,7.7333,Unknown,Q
0,3,male,30,0,0,8.05,Unknown,S
0,3,male,44,0,1,16.1,Unknown,S
1,2,female,40,0,0,15.75,Unknown,S
0,3,male,26,0,0,7.775,Unknown,S
0,3,male,17,0,0,8.6625,Unknown,S
0,3,male,1,4,1,39.6875,Unknown,S
0,3,female,45,1,4,27.9,Unknown,S
0,3,male,28,0,0,56.4958,Unknown,S
0,1,male,61,0,0,33.5,B19,S
0,3,male,4,4,1,29.125,Unknown,Q
1,3,female,1,1,1,11.1333,Unknown,S
0,3,male,21,0,0,7.925,Unknown,S
0,1,female,50,0,0,28.7125,C49,C
0,2,male,30,0,0,13,Unknown,S
0,3,male,9,4,2,31.3875,Unknown,S
1,3,female,4,0,2,22.025,Unknown,S
0,3,male,40,1,1,15.5,Unknown,Q
1,2,female,32,0,0,13,Unknown,S
0,2,male,19,0,0,13,Unknown,S
1,3,female,19,1,0,7.8542,Unknown,S
1,2,male,3,1,1,26,F2,S
1,1,female,44,0,0,27.7208,B4,C
1,1,female,58,0,0,146.5208,B80,C
0,3,male,42,0,1,8.4042,Unknown,S
0,2,female,24,0,0,13,Unknown,S
0,3,male,28,0,0,9.5,Unknown,S
0,3,male,45.5,0,0,7.225,Unknown,C
1,3,male,18,0,0,8.05,Unknown,S
0,3,female,2,0,1,10.4625,G6,S
1,3,male,26,0,0,18.7875,Unknown,C
1,3,female,16,0,0,7.75,Unknown,Q
1,1,male,40,0,0,31,A31,C
0,3,male,24,0,0,7.05,Unknown,S
1,2,female,35,0,0,21,Unknown,S
0,3,male,22,0,0,7.25,Unknown,S
0,2,male,30,0,0,13,Unknown,S
1,1,female,31,1,0,113.275,D36,C
1,3,female,27,0,0,7.925,Unknown,S
0,2,male,42,1,0,27,Unknown,S
1,1,male,38,1,0,90,C93,S
0,3,male,22,0,0,9.35,Unknown,S
1,2,male,19,0,0,10.5,Unknown,S
0,3,male,20.5,0,0,7.25,Unknown,S
0,2,male,18,0,0,13,Unknown,S
1,1,female,35,1,0,83.475,C83,S
0,3,male,29,0,0,7.775,Unknown,S
0,2,male,59,0,0,13.5,Unknown,S
1,3,female,5,4,2,31.3875,Unknown,S
0,2,male,24,0,0,10.5,Unknown,S
1,2,female,8,0,2,26.25,Unknown,S
0,2,male,33,0,0,12.275,Unknown,S
0,2,male,29,0,0,10.5,Unknown,S
0,3,male,22,0,0,7.125,Unknown,S
0,3,male,30,0,0,7.225,Unknown,C
0,1,male,44,2,0,90,C78,Q
0,3,female,25,0,0,7.775,Unknown,S
1,2,female,24,0,2,14.5,Unknown,S
1,1,male,37,1,1,52.5542,D35,S
0,2,male,54,1,0,26,Unknown,S
0,3,female,29,1,1,10.4625,G6,S
0,1,male,62,0,0,26.55,C87,S
0,3,male,30,1,0,16.1,Unknown,S
0,3,female,41,0,2,20.2125,Unknown,S
1,3,female,29,0,2,15.2458,Unknown,C
1,1,female,30,0,0,86.5,B77,S
1,1,female,35,0,0,512.3292,Unknown,C
1,3,male,3,4,2,31.3875,Unknown,S
0,1,male,52,1,1,79.65,E67,S
0,1,male,40,0,0,0,B94,S
0,2,male,36,0,0,10.5,Unknown,S
0,3,male,16,4,1,39.6875,Unknown,S
1,3,male,25,1,0,7.775,Unknown,S
1,1,female,58,0,1,153.4625,C125,S
1,1,female,35,0,0,135.6333,C99,S
1,3,male,25,0,0,0,Unknown,S
1,2,female,41,0,1,19.5,Unknown,S
0,1,male,37,0,1,29.7,C118,C
1,1,female,63,1,0,77.9583,D7,S
0,3,male,7,4,1,29.125,Unknown,Q
1,3,female,35,1,1,20.25,Unknown,S
0,3,male,65,0,0,7.75,Unknown,Q
0,3,male,28,0,0,7.8542,Unknown,S
0,3,male,16,0,0,9.5,Unknown,S
1,3,male,30,0,0,9.5,Unknown,S
0,3,male,22,0,0,7.8958,Unknown,S
1,2,male,42,0,0,13,Unknown,S
1,1,female,26,0,0,78.85,Unknown,S
0,3,female,24,0,0,8.85,Unknown,S
0,3,male,24,0,0,7.8958,Unknown,S
0,3,male,23.5,0,0,7.2292,Unknown,C
0,1,female,2,1,2,151.55,C22 C26,S
1,1,female,50,0,1,247.5208,B58 B60,C
0,3,male,19,0,0,0,Unknown,S
1,1,male,0.92,1,2,151.55,C22 C26,S
1,1,female,17,1,0,108.9,C65,C
0,2,male,30,1,0,24,Unknown,C
1,1,female,30,0,0,56.9292,E36,C
1,1,female,18,2,2,262.375,B57 B59 B63 B66,C
0,2,female,26,1,1,26,Unknown,S
0,3,male,28,0,0,7.8958,Unknown,S
0,2,male,43,1,1,26.25,Unknown,S
1,3,female,26,0,0,7.8542,Unknown,S
0,2,male,54,0,0,14,Unknown,S
1,1,female,31,0,2,164.8667,C7,S
1,1,female,40,1,1,134.5,E34,C
0,3,male,22,0,0,7.25,Unknown,S
0,3,male,27,0,0,7.8958,Unknown,S
1,2,female,30,0,0,12.35,Unknown,Q
1,1,female,36,0,0,135.6333,C32,C
0,3,male,61,0,0,6.2375,Unknown,S
1,2,female,36,0,0,13,D,S
1,3,female,31,1,1,20.525,Unknown,S
1,1,female,16,0,1,57.9792,B18,C
0,1,male,38,0,1,153.4625,C91,S
0,3,male,16,2,0,18,Unknown,S
0,1,male,29,1,0,66.6,C2,S
1,1,female,41,0,0,134.5,E40,C
1,3,male,45,0,0,8.05,Unknown,S
0,1,male,45,0,0,35.5,T,S
1,2,male,2,1,1,26,F2,S
1,1,female,24,3,2,263,C23 C25 C27,S
0,2,male,28,0,0,13,Unknown,S
0,2,male,25,0,0,13,Unknown,S
1,2,female,24,0,0,13,F33,S
1,2,female,40,0,0,13,Unknown,S
1,3,male,3,1,1,15.9,Unknown,S
0,3,male,23,0,0,9.225,Unknown,S
0,3,male,15,1,1,7.2292,Unknown,C
0,3,male,28,0,0,9.5,Unknown,S
1,1,female,22,0,1,55,E33,S
0,2,female,38,0,0,13,Unknown,S
0,2,male,29,1,0,27.7208,Unknown,C
0,3,female,45,0,1,14.4542,Unknown,C
0,3,male,35,0,0,7.05,Unknown,S
0,3,male,30,0,0,7.25,Unknown,S
1,1,female,60,1,0,75.25,D37,C
1,1,female,24,0,0,69.3,B35,C
1,1,male,25,1,0,55.4417,E50,C
0,3,male,18,1,0,6.4958,Unknown,S
